Month,MonthlyRainfall_mm,RainyDays,MaxDailyRainfall_mm,MaxDailyRainfallDateTime,Year,Station,StationCode
8,162.0,10,47.0,2019/08/09 00:00:00,2019,Taoyuan,C1C510
9,198.5,14,54.5,2019/09/29 00:00:00,2019,Taoyuan,C1C510
10,8.5,4,4.0,2019/10/29 00:00:00,2019,Taoyuan,C1C510
11,25.5,7,12.5,2019/11/22 00:00:00,2019,Taoyuan,C1C510
12,197.0,12,58.0,2019/12/06 00:00:00,2019,Taoyuan,C1C510
1,295.0,12,112.5,2018/01/08 00:00:00,2018,Taoyuan,C1C510
2,134.5,15,29.0,2018/02/22 00:00:00,2018,Taoyuan,C1C510
3,56.5,6,27.5,2018/03/20 00:00:00,2018,Taoyuan,C1C510
4,51.0,9,12.5,2018/04/24 00:00:00,2018,Taoyuan,C1C510
5,38.5,3,34.0,2018/05/08 00:00:00,2018,Taoyuan,C1C510
6,43.0,10,12.5,2018/06/15 00:00:00,2018,Taoyuan,C1C510
7,59.5,7,25.5,2018/07/11 00:00:00,2018,Taoyuan,C1C510
